s_no,organization,problem_title,category,ps_number,submitted_ideas,theme,detail_url,domain_category
3,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1526Problem Statement TitleStudent InnovationDescriptionSmart Education, a Concept that Describes learning in digital age.it enables learner to learn more effectively, efficently, flexibly and comfortably.OrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeSmart EducationYoutube LinkDataset LinkContact info",Problem Statement ID,1526,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,education
4,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1527Problem Statement TitleStudent InnovationDescriptionDisaster Management includes ideas related to risk mitigation and Planning before, after or Duration of Disaster.OrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeDisaster ManagementYoutube LinkDataset LinkContact info",Problem Statement ID,1527,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,education
5,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1528Problem Statement TitleStudent InnovationDescriptionTechnology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.OrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeMiscellaneousYoutube LinkDataset LinkContact info",Problem Statement ID,1528,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,education
6,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1529Problem Statement TitleStudent InnovationDescriptionProvide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectorsOrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeBlockchain & CybersecurityYoutube LinkDataset LinkContact info",Problem Statement ID,1529,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,education
7,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1530Problem Statement TitleStudent InnovationDescriptionInnovative ideas that help manage and generate renewable /sustainable sources more efficiently.OrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeRenewable / Sustainable EnergyYoutube LinkDataset LinkContact info",Problem Statement ID,1530,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,education
8,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1531Problem Statement TitleStudent InnovationDescriptionA solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.OrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeTravel & TourismYoutube LinkDataset LinkContact info",Problem Statement ID,1531,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,education
9,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1532Problem Statement TitleStudent InnovationDescriptionSolutions could be in the form of waste segregation, disposal, and improve sanitization system.OrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeClean & Green TechnologyYoutube LinkDataset LinkContact info",Problem Statement ID,1532,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,education
10,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1533Problem Statement TitleStudent InnovationDescriptionThere is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.OrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeRobotics and DronesYoutube LinkDataset LinkContact info",Problem Statement ID,1533,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,education
11,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1534Problem Statement TitleStudent InnovationDescriptionSubmit your ideas to address the growing pressures on the city├ö├ç├ûs resources, transport networks, and logistic infrastructureOrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeTransportation & LogisticsYoutube LinkDataset LinkContact info",Problem Statement ID,1534,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,education
12,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1535Problem Statement TitleStudent InnovationDescriptionCreating intelligent devices to improve the commutation sectorOrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeSmart VehiclesYoutube LinkDataset LinkContact info",Problem Statement ID,1535,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,education
