s_no,organization,problem_title,category,ps_number,submitted_ideas,theme,detail_url,domain_category
14,"AICTE, MIC-Student Innovation","Student Innovation×Problem Statement DetailsProblem Statement ID1537Problem Statement TitleStudent InnovationDescriptionCutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.OrganizationAICTE, MIC-Student InnovationDepartmentMinistry of Education's Innovation Cell (MIC)CategoryHardwareThemeMedTech / BioTech / HealthTechYoutube LinkDataset LinkContact info",Problem Statement ID,1537,Problem Statement Title,Student Innovation,https://www.sih.gov.in/sih2024PS,healthcare
24,Department of Science and Technology,"Development of an alternative technology to check blockage of blood vessels (an alternative to conventional angiography.×Problem Statement DetailsProblem Statement ID1547Problem Statement TitleDevelopment of an alternative technology to check blockage of blood vessels (an alternative to conventional angiography.DescriptionBackground: Angiography is a common medical imaging technique used to visualize the inside of blood vessels and detect blockages.
Description: However, typically medical tests like radionuclide angiography involve the use of radioactive contrast agents, which can pose risks to patients, including radiation exposure and allergic reactions. There is a growing need for safer, non-invasive alternatives that can provide accurate diagnostics without these risks.
Expected Solution: The problem statement is to develop a cost-effective, non-invasive technology that can accurately detect blockages in blood vessels without the use of radioactive materials. This technology should be suitable for widespread clinical use and provide reliable results comparable to conventional angiography.OrganizationDepartment of Science and TechnologyDepartmentDepartment of Science and TechnologyCategoryHardwareThemeMedTech / BioTech / HealthTechYoutube LinkDataset LinkContact info",Problem Statement ID,1547,Problem Statement Title,Development of an alternative technology to check blockage of blood vessels (an alternative to conventional angiography.,https://www.sih.gov.in/sih2024PS,healthcare
26,Department of Science and Technology,"Development of chemical strip (non-electronic) for identification of high temperature exposure in transportation of medicines/vaccines/FMCG goods, to ensure its usability.×Problem Statement DetailsProblem Statement ID1549Problem Statement TitleDevelopment of chemical strip (non-electronic) for identification of high temperature exposure in transportation of medicines/vaccines/FMCG goods, to ensure its usability.DescriptionBackground: The transportation of temperature-sensitive goods is a critical aspect of supply chain management. Medicines, vaccines, and certain FMCG products require strict temperature control to maintain their efficacy and safety.
Description: Exposure to high temperatures can compromise these products, leading to potential health risks and financial losses. Traditional electronic temperature monitoring devices can be costly and may not be feasible for all types of shipments. 
Expected Solution: Problem statement is to develop a cost-effective, non-electronic chemical strip that changes colour or exhibits a visible change when exposed to temperatures above a certain threshold. This strip should be easy to use, reliable, and capable of providing a clear indication of temperature breaches during transportation.OrganizationDepartment of Science and TechnologyDepartmentDepartment of Science and TechnologyCategoryHardwareThemeMedTech / BioTech / HealthTechYoutube LinkDataset LinkContact info",Problem Statement ID,1549,Problem Statement Title,"Development of chemical strip (non-electronic) for identification of high temperature exposure in transportation of medicines/vaccines/FMCG goods, to ensure its usability.",https://www.sih.gov.in/sih2024PS,healthcare
27,Department of Science and Technology,"Development of portable device (non-contact device) for measurement of eye pressure in glaucoma patients for usage at home.×Problem Statement DetailsProblem Statement ID1550Problem Statement TitleDevelopment of portable device (non-contact device) for measurement of eye pressure in glaucoma patients for usage at home.DescriptionBackground: Glaucoma is a leading cause of blindness worldwide, and managing intraocular pressure (IOP) is crucial for preventing disease progression. 
Description: Traditional methods of measuring IOP, such as Goldmann applanation tonometry, require direct contact with the eye, topical anaesthesia, and skilled personnel, making them less accessible for regular monitoring. Non-contact methods, such as air-puff tonometry, offer a more convenient alternative but are often limited to clinical settings due to their size and cost.
Expected Solution: Problem statement is to develop a cost-effective, portable, and non-contact device that can measure IOP accurately and reliably with safety. This device should be easy to use, and allowing patients to use at home.OrganizationDepartment of Science and TechnologyDepartmentDepartment of Science and TechnologyCategoryHardwareThemeMedTech / BioTech / HealthTechYoutube LinkDataset LinkContact info",Problem Statement ID,1550,Problem Statement Title,Development of portable device (non-contact device) for measurement of eye pressure in glaucoma patients for usage at home.,https://www.sih.gov.in/sih2024PS,healthcare
30,Ministry of AYUSH,"Develop a Smart Yoga Mat integrated with Artificial Intelligence (AI) capabilities to support smart watch integration for tracking progress and provide curated yoga content by experts, while ensuring its affordability.×Problem Statement DetailsProblem Statement ID1556Problem Statement TitleDevelop a Smart Yoga Mat integrated with Artificial Intelligence (AI) capabilities to support smart watch integration for tracking progress and provide curated yoga content by experts, while ensuring its affordability.DescriptionBackground: Yoga has gained global recognition for its numerous health benefits, including physical fitness, mental well-being, and stress reduction. As part of India's ancient heritage, yoga is a key component of the AYUSH (Ayurveda, Yoga & Naturopathy, Unani, Siddha, and Homoeopathy) systems of medicine, promoting holistic health practices.
In today's digital age, there is a growing demand for innovative solutions that combine traditional practices with modern technology. A smart yoga mat equipped with AI and smart watch integration presents an opportunity to enhance the yoga experience, making it more interactive, personalized, and accessible.
Detailed Description: The objective of this challenge is to design and develop a Smart Yoga Mat that leverages AI capabilities to:
Smart Watch Integration: Enable seamless connectivity with smart watches to track key metrics such as heart rate, calories burned, and workout duration. This integration should provide real-time feedback to users, helping them monitor their progress and adjust their practice accordingly.
AI-Powered Guidance: Utilize AI algorithms to analyze user data from the smart watch and provide personalized recommendations for yoga routines. The Smart Yoga Mat should be capable of offering curated content, including instructional videos, audio guidance, and posture corrections based on individual performance metrics.
Affordability: Ensure that the Smart Yoga Mat remains cost-effective without compromising on quality or functionality. This affordability factor is crucial for encouraging widespread adoption among AYUSH start-ups and yoga enthusiasts across India.
Expected Outcome: Participants are expected to deliver a prototype of the Smart Yoga Mat that demonstrates:
Seamless integration with smart watches for tracking yoga-related metrics.
AI-driven capabilities for personalized yoga guidance and content recommendations.
User-friendly interface and ergonomic design suitable for various yoga practices.
Cost-effective manufacturing feasibility, suitable for AYUSH start-ups.OrganizationMinistry of AYUSHDepartmentAll India Institute of Ayurveda (AIIA)CategoryHardwareThemeMedTech / BioTech / HealthTechYoutube LinkDataset LinkContact info",Problem Statement ID,1556,Problem Statement Title,"Develop a Smart Yoga Mat integrated with Artificial Intelligence (AI) capabilities to support smart watch integration for tracking progress and provide curated yoga content by experts, while ensuring its affordability.",https://www.sih.gov.in/sih2024PS,healthcare
31,Ministry of Coal,"Development of Tyre Maintenance and Operation App, including fitment of necessary IIoT related hardware in Dumpers×Problem Statement DetailsProblem Statement ID1557Problem Statement TitleDevelopment of Tyre Maintenance and Operation App, including fitment of necessary IIoT related hardware in DumpersDescriptionTyre cost is one of the most important O&M cost in dumpers. In high capacity dumpers of CIL, the tyres are imported ones, and cost of such tyre is more than Rs. 25.00 lakhs each.
Two aspects are equally crucial for tyre management in a mine ├ö├ç├┤ The first is the proper assessment of TKPH, and the second is proper maintenance of tyre pressure. Besides these two aspects, proper tyre performance analysis is also important.
TKPH: Tonne-Kilometer-Per-Hour
It is indicative of how much average load is carried by an individual tyre, for a given average speed condition, during an entire shift of operation.
TKPH = (Mean load on tyre in tonne) x (AWSS in km/hour)
Where, Mean Load is the average load in empty condition and loaded condition, and AWSS is the Average Speed during the Work Shift.
Assessing the correct TKPH requirement by the user for a particular mining condition is the most important task. The user has to seek a particular TKPH tyre from the manufacturer. Manufacturer accordingly manufactures and supplies the same TKPH tyre to the user, by using suitable tread pattern and tyre compound in its factory.
More is the TKPH, more heat-resistance the tyre will be. But if the TKPH is increased just to ensure heat-resistance, then it adversely affects the cut-resistance properties of the tyre. If operating TKPH is very very less than the designed TKPH of tyres, there will not be heat- failures, but cut-failures will increase. So, there should be a balance between the heat-resistance and cut-resistance properties, and proper assessment of TKPH is a must.
Actions required: The payload monitoring system has already been installed in CIL├ö├ç├ûs dumpers, and the payload as well as operating speed per shift is being continuously recorded in the Vehicle├ö├ç├ûs Productivity and Health Monitoring System. By using suitable IoT application and suitable app, the payload and speed data may be directly transferred and analysed through the suitable app, so that correct value of TKPH assessment may be made directly through the mobile app. This assessed TKPH will be very helpful in procurement of suitable tyres for a particular geo mining condition.
Tyre Pressure
Proper tyre pressure is equally important for tyre life. Incorrect tyre pressure adversely affects the fuel economy, as well as the performance of other vital systems of the vehicle, apart from creating safety issues also. In a big mine, regular checking of tyre pressure for all the dumpers remain a daunting task, and involves lot of time and manpower resources.
Expected Solution: Suitable Tyre Pressure Sensors along with data transfer mechanism need to be installed in the dumpers, which can be used in real-time capturing of tyre pressure of all tyres fitted in the dumper. So, first of all necessary IIoT system along with hardware need to be fitted in the dumper. Next, appropriate application may be developed, to transfer the real-time tyre pressure data through the Mobile App. The real-time tyre pressure data may also be simultaneously displayed to the operator with suitable alarm system in case of low tyre pressure. In case of low tyre pressure, suitable alerts may be incorporated for Mobile App user. If such a system through Mobile App is controlled effectively by Maintenance team, they may not require to check each and every tyre pressure physically, rather they can directly identify the tyres which need immediate attention. This will help in optimum utilization of the tyre maintenance resources, and avoiding unnecessary downtime.
Tyre Performance Analysis
Apart from the above two aspects of tyres maintenance and operation, the Mobile App may also keep tyre-wise, its fitment position-wise records to properly assess the tyre performance and reasons of failures including premature failures, if any. Such provisioning in the App will automatically compute the individual tyre life obtained in a particular mine; and if linked to costing, it will automatically compute the cost/working hour of tyres.
Such analysis will go a long way in improving the tyre performance in CIL.OrganizationMinistry of CoalDepartmentCentral Mine Planning & Design Institute LimitedCategoryHardwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1557,Problem Statement Title,"Development of Tyre Maintenance and Operation App, including fitment of necessary IIoT related hardware in Dumpers",https://www.sih.gov.in/sih2024PS,healthcare
34,"Ministry of Fisheries, Animal Husbandry and Dairying","Rapid colorimetric and artificial intelligence-based methods for determining the microbial quality of raw milk, processed milk, and milk products×Problem Statement DetailsProblem Statement ID1560Problem Statement TitleRapid colorimetric and artificial intelligence-based methods for determining the microbial quality of raw milk, processed milk, and milk productsDescriptionBackground:
Milk is perishable product, it requires immediate processing after few hours (2-4Hrs) of production, otherwise, bacterial load increases and milk gets deteriorate. At present Methytene Blue Dye Reduction Test, commonly known as MBRT test is used as a quick method to assess the microbiological quality of raw and pasteurized milk. This test is based on the fact that the blue colour of the dye solution added to the milk get decolourized when the oxygen present in the milk get exhausted due to microbial activity. The sooner the decolourization, more inferior is
the bacteriological quality of milk assumed to be. This test is widely used at the dairy reception dock, processing units and milk chilling centres where it is followed as acceptance/rejection criteria for the raw and processed milk. Further, processed dairy products may also get spoiled in the supply chain for microbiological reasons.
Description: The above mentioned MBRT has to be done under sterile conditions. Take 10 ml milk sample in sterile MBRT test tube. Add 1 ml MBRT dye solution (dye concentration 0.005%). Stopper the tubes with sterilized rubber stopper and carefully place them in a test tube stand dipped in a serological water bath maintained at 37t1oC. Record this time as the beginning of the incubation period. Decolourization is considered complete when only a faint blue ring (about 5mm) persists at the top. However, for processed dairy products, the enumeration of bacterial load is time-consuming and requires different methods.
Expected solution: The above mentioned MBRT takes 4 to 6 Hours for completion of the test. Therefore, it is proposed to develop cost effective, rapid and portable method/Machine to deduct microbial load in Raw and Pasteurized Milk as compared to present Methylene blue reduction test (MBRT).Meanwhile, smart packaging tools such as freshness indicators could be a solution for processed dairy products.ln this context, artificial intelligence, machine vision, systems, etc. could be explored.OrganizationMinistry of Fisheries, Animal Husbandry and DairyingDepartmentDepartment of Animal Husbandry & DairyingCategoryHardwareThemeMedTech / BioTech / HealthTechYoutube LinkDataset LinkContact info",Problem Statement ID,1560,Problem Statement Title,"Rapid colorimetric and artificial intelligence-based methods for determining the microbial quality of raw milk, processed milk, and milk products",https://www.sih.gov.in/sih2024PS,healthcare
54,Ministry of Social Justice and Empowerment,"Wearable sensor with Artificial Intelligence for prevention of falls in elderly people×Problem Statement DetailsProblem Statement ID1580Problem Statement TitleWearable sensor with Artificial Intelligence for prevention of falls in elderly peopleDescriptionBackground: As per the census 2011, Disability is more common in elderly people. One of the major reasons for disability among the elderly people is falls. Every year, one-third of community-dwelling older adults (adults aged 65 and older) experience a fall. Falls, defined as ├ö├ç┬úunexpected event[s] in which the participant comes to rest on the ground, floor, or lower level,├ö├ç├ÿ are responsible for a wide range of negative health outcomes. Falls are the leading cause of injury-related deaths among older adults, and the age-adjusted fall death rate (64 deaths per 100,000 older adults) increased by 30%. Additionally, the psychological impact of falling can cause older adults and their caregivers significant fear about the risk of falling again. This fear of falling can have an accumulating effect whereby the fear of falling causes individuals to limit their everyday physical activities, which in turn makes them weaker and more susceptible to future falls. In fact, studies have shown that falling once doubles the chances of falling again. Many falls, however, can be prevented. One of the most effective ways to reduce fall risk is through targeted exercise that improves an individual├ö├ç├ûs strength, balance, and mobility
Description: Exercise-based programs, such as the Otago Exercise Program and Tai Ji Quan: Moving for Better Balance, have been shown to reduce falls by up to 35% and 55%, respectively. Until recently, however, the vast majority of fall prevention programs were only offered in small, in-person classes hosted in local senior centres or gyms. Although this has been the standard dissemination method for decades, it comes with significant barriers to participation. Common barriers to in-person programs include a lack of programs in rural or under resourced communities; limited or no access to transportation; scheduling conflicts; cost of getting to and using facilities; interpersonal barriers, such as finding other participants├ö├ç├û presence intimidating; and physical environmental barriers, such as bad weather, stairs, uneven ground, difficult parking, and more
The recent developments in Wearable technology with Artificial intelligence may help elderly people in preventing falls by giving tactile/visual/auditory feedback to users regarding risks of falling. This software may be developed with sensors that could able to sense whenever there is risk of Line of Gravity (LOG) goes outside the Base of Support (BOS) during day-to-day activities for elderly people as this is the commonest reason for elderly people.
Expected Solution:
These technologies will help elderly people to prevent falling by which Disability may be prevented. This digital delivery of a fall prevention program may be feasible. This suggests that the digital program addresses a previously unmet need in the community and its delivery would be sufficient to engage the community dwellersOrganizationMinistry of Social Justice and EmpowermentDepartmentNIEPID (National Institute for the Empowerment of Persons with Intellectual Disabilities)CategoryHardwareThemeMedTech / BioTech / HealthTechYoutube LinkDataset LinkContact info",Problem Statement ID,1580,Problem Statement Title,Wearable sensor with Artificial Intelligence for prevention of falls in elderly people,https://www.sih.gov.in/sih2024PS,healthcare
55,Ministry of Social Justice and Empowerment,"Development of cost-effective myoelectric prosthesis.×Problem Statement DetailsProblem Statement ID1581Problem Statement TitleDevelopment of cost-effective myoelectric prosthesis.DescriptionBackground: With the loss of an upper limb, activities of daily living (ADL) become more challenging for the affected person. Functional body powered upper limb prosthesis can replace the functions of upper limb for ADL activities up to some extent. But in higher level of upper limb amputation, it becomes difficult for the patient to manage ADL activities. The requirement of externally powered prosthesis such as myoelectric prosthesis plays a vital role in this aspect.
Description of Problem statement: 
A myoelectric prosthesis is an externally powered prosthesis which is controlled by muscle contraction (muscle action potential). In market, many variants of myoelectric prostheses are available with various features. The most important feature of these prostheses is the grasping pattern types and also it indicates about movement of different fingers in prosthesis. Because it is expensive, access to these high-end prosthesesbecomes challenging for patients with upper limb amputation living in developing nations like India. Even though few myoelectric prostheses are available in market with less cost, but the features are limited and are not working precisely. 
Expected Solutions: 
Experts from different disciplines, such as engineers for creating programs and fabrication of controlling circuits and Prosthetist for fabrication of sockets and fitment of the prostheses are required to design and develop a cost-effective myoelectric prosthesis. Most important feature of the prosthesis is the grasping pattern which is completely dependent on the prosthetic hand. Thus, design and fabrication of prosthetic hand also plays a vital role in the complete working mechanism of the prosthesis. Thus, to get a successful result, it is possible to work collaboratively with experts from different discipline.OrganizationMinistry of Social Justice and EmpowermentDepartmentNIEPID (National Institute for the Empowerment of Persons with Intellectual Disabilities)CategoryHardwareThemeMedTech / BioTech / HealthTechYoutube LinkDataset LinkContact info",Problem Statement ID,1581,Problem Statement Title,Development of cost-effective myoelectric prosthesis.,https://www.sih.gov.in/sih2024PS,healthcare
56,Ministry of Housing and Urban Affairs,"System to check the healthiness of earthing system and alert staff in case of any malfunction;×Problem Statement DetailsProblem Statement ID1582Problem Statement TitleSystem to check the healthiness of earthing system and alert staff in case of any malfunction;DescriptionBackground: We have large numbers of Electrical pole lights installed at parking area and station area. Though these lights are equipped with earth leakage protection switch gear but in case of malfunctioning, it may prove to be dangerous for the public. Also, to check all the system earthing, huge manpower is required.
Description: To address this challenge there is a need of sensor-based system which can continuously monitor the healthiness of earth leakage current, the continuity of the earthing for all electrical system and also alert the maintenance team in case of any malfunction. The sensor-based system can take feedback from the panels and transmit the same to a centralized location. This system shall also monitor the earth resistance value of earth pits/earth grid and shall give audible and visual alert in case of any deviation from the specified value.
Expected Solution: This system shall monitor the healthiness of earth leakage in switchgear, the continuity of the earthing for all electrical system and generate alert in case of any malfunction in system.OrganizationMinistry of Housing and Urban AffairsDepartmentSmart Cities MissionCategoryHardwareThemeMiscellaneousYoutube LinkDataset LinkContact info",Problem Statement ID,1582,Problem Statement Title,System to check the healthiness of earthing system and alert staff in case of any malfunction;,https://www.sih.gov.in/sih2024PS,healthcare
