s_no,organization,problem_title,category,ps_number,submitted_ideas,theme,detail_url,domain_category
22,Department of Science and Technology,"Development of a non-electrical device for tracking the movement of the sun for movement of the solar panels, increasing their efficiency.×Problem Statement DetailsProblem Statement ID1545Problem Statement TitleDevelopment of a non-electrical device for tracking the movement of the sun for movement of the solar panels, increasing their efficiency.DescriptionBackground: Solar panels are most efficient when they are directly facing the sun. However, the sun├ö├ç├ûs position changes throughout the day and across seasons, which can reduce the amount of sunlight that fixed solar panels receive.
Description: Traditional solar tracking systems often rely on electrical components and motors, which can be costly and require maintenance. A non-electrical tracking system offers a sustainable and low-maintenance alternative to enhance the efficiency of solar panels.
Expected Solution: The problem statement is to develop a cost-effective, non-electrical device that can accurately track the sun├ö├ç├ûs movement and adjust the orientation of solar panels to maintain optimal exposure. This device should be reliable, easy to install, and capable of operating without external power sources.OrganizationDepartment of Science and TechnologyDepartmentDepartment of Science and TechnologyCategoryHardwareThemeRenewable / Sustainable EnergyYoutube LinkDataset LinkContact info",Problem Statement ID,1545,Problem Statement Title,"Development of a non-electrical device for tracking the movement of the sun for movement of the solar panels, increasing their efficiency.",https://www.sih.gov.in/sih2024PS,others
37,National Technical Research Organisation (NTRO),"Automatic Change detection in Synthetic Aperture Radar satellite images×Problem Statement DetailsProblem Statement ID1563Problem Statement TitleAutomatic Change detection in Synthetic Aperture Radar satellite imagesDescriptionBackground: Synthetic Aperture Radar satellite images have the capability for night time imaging as well as imaging without being affected by clouds. Automatic change detection on such images have wider application for various use cases.
Description: Change detection between two SAR (Synthetic Aperture Radar) satellite images are straight forward if they are co-registered as the difference or ratio of corresponding pixels of the two images itself will give the change map. But such change maps will invariably have many natural changes as well like water body extent, flood extent, snow cover and forest cover changes etc. Our interest is to detect only man made changes and avoid natural changes.
The solution can make use of Sentinel 1 SAR Open source satellite images and Google Earth Engine platform to access them. These images are co-registered by default. The GRD (Ground Range Detected) intensity image version of the Sentinel 1 SAR is to be used. Please note that images with same viewing geometry are better suited for change detection purposes. The solution should give the option for the user to vary the thresholds if any used for filtering change results. The change output should be in the form of polygons in a geographically referenced vector file. The solution should be scalable, means should be able to run on huge areas of interest and generate change alerts. The criteria for winning solution would be minimum false alarms with regard to man made changes.
Expected Solution: A software based solution is expected that has a GUI to specify the area of interest for change detection and threshold controls to filter changes and output changes in the form of shapefiles/geojson with geographical references. It shall run above Google Earth Engine.OrganizationNational Technical Research Organisation (NTRO)DepartmentNational Technical Research Organisation (NTRO)CategoryHardwareThemeSpace TechnologyYoutube LinkDataset Linkhttps://developers.google.com/earth-engine/datasets/catalog/COPRNICUS_S1_GRDContact info",Problem Statement ID,1563,Problem Statement Title,Automatic Change detection in Synthetic Aperture Radar satellite images,https://www.sih.gov.in/sih2024PS,others
38,National Technical Research Organisation (NTRO),"Automatic Road Extraction and alert generation for new roads×Problem Statement DetailsProblem Statement ID1564Problem Statement TitleAutomatic Road Extraction and alert generation for new roadsDescriptionBackground: Department of Space has made available its medium resolution satellite images through Boonidhi portal. Resourcesat satellite images (LISS IV sensor) are useful to extract roads with width of 20 feet and above due to its resolution.
Description Roads: are linear features on satellite images and quite clearly visible for human interpretation because of their linearity. Automated road extraction is required in view of very large volume of imagery available nowadays. The roads extracted must be saved to a GIS database. When there is a change or new road development compared to previous image of the same area, there should be an alert generated.
Expected Solution: A software based solution is expected that has a GUI to specify the area of interest for road extraction and alerts generation. Output should be in the form of shapefiles with geographical references. It should make use of ISRO├ö├ç├ûs Boonidhi images. The alert should be sent to configured email ids.OrganizationNational Technical Research Organisation (NTRO)DepartmentNational Technical Research Organisation (NTRO)CategoryHardwareThemeSpace TechnologyYoutube LinkDataset LinkContact info",Problem Statement ID,1564,Problem Statement Title,Automatic Road Extraction and alert generation for new roads,https://www.sih.gov.in/sih2024PS,others
44,Ministry of Jal Shakti,"Designing and development of a pressure transducer based equipment with a well cap for measurement of heads in autoflow wells×Problem Statement DetailsProblem Statement ID1570Problem Statement TitleDesigning and development of a pressure transducer based equipment with a well cap for measurement of heads in autoflow wellsDescriptionAutoflow wells tap aquifers in which groundwater occurs in pressurised condition. As a result of this water flows from such well automatically and pumping devices are not required. Such autoflow wells are observed mostly in the Terai region of India. As shown by the aquifer mapping studies, the extents of autoflow areas are shrinking in parts of Uttarakhand and elsewhere. 
Many private wells in these terrains are without any cap or tap and water flows continuously leading to huge groundwater losses. 
Further, measurement of head (water level) in these wells is a challenge as water flows automatically from these wells. Usually an additional pipe is attached above the ground level and the water level in such a pipes is measured manually. 
The proposal is to develop a device that can serve two purposes- i) it will work as a safe cap for the well with a tap for regulating water flow and ii) a pressure transducer based sensor that can sense the pressure and translate it in terms of height (in m) above ground levelOrganizationMinistry of Jal ShaktiDepartmentDepartment of WR, RD & GRCategoryHardwareThemeMiscellaneousYoutube LinkDataset LinkContact info",Problem Statement ID,1570,Problem Statement Title,Designing and development of a pressure transducer based equipment with a well cap for measurement of heads in autoflow wells,https://www.sih.gov.in/sih2024PS,others
117,Ministry of Coal,"App based Project monitoring of S&T/ R&D Projects of Coal Sector×Problem Statement DetailsProblem Statement ID1646Problem Statement TitleApp based Project monitoring of S&T/ R&D Projects of Coal SectorDescriptionBackground: CMPDI is the nodal agency for assessing and monitoring of the various R&D projects funded by CIL and S&T projects funded by S&T. The monitoring of each projects is performed by checking the financial and physical progress certificates submitted in prescribed forms as per S&T guidelines. It also intervenes in case any hindrances are observed /expected which can affect the project activities and timeline. 
The projects are classified in two, based on its funding i.e. S&T projects funded by MoC and R&D projects funded by CIL. The progress of the S&T projects is being monitored in the various Meetings such as Technical Subcommittee meeting, and SSRC meeting for S&T projects, and that of R&D projects in Apex Committee and R&D Board. The directions/ instruction/suggestion given in the above meetings are to be updated for each projects. 
As per guidelines, the PI of the projects has to submit the quarterly progress reports along with fund utilisation reports or time extension or additional funds in prescribed forms. 
The projects wise information├ö├ç├ûs/ quarterly progress reports of about more than 100 such reports in each quarter are received through mail and post and are maintained in physical files. The data in the above reports which consists of more than 1000 data fields is to be updated manually on the data sheets which consumes a lot of time, manpower and have chances of human errors. 
Description: The objective is to develop a web based software app suited for windows, android, and Mac, which will incorporate each and every steps/activities involved during the progress of the research projects till it official completion/ closure and maintain the whole database in a defined server for audit and scrutiny. 
Expected Solution: A web based software app is required to be developed which will authorise the sanctioned project├ö├ç├ûs proponents to enter data and update the project├ö├ç├ûs status through the app on PC and phone including all the forms, activity wise time line, schedule table, details of fund utilisation, other necessary input etc.
An admin console, to be handled by CMPDI, will also be developed for the following:
Creation of unique project code based on the funding and other criteria after approval of the project.
Other information such as Title of the projects, Name of Principal Implementing Agencies, Name of Sub-Implementing Agencies, Name of the Project Investigator(s), Project Co-ordinator, Project Investigator, Duration of the projects, project outlay (Agency wise & Head wise), start date, Schedule completion date, etc.
On completion, the admin should have the control to set the final status. 
Official communication on the specified email ids of the authorised project co-ordinators or investigators of implementing/ sub-implementing agencies through Email for Delays, Meetings, revisions etc.

Research Investigator Console: For the investigators/ Researchers of the sanctioned project.
Initial information of the sanctioned projects will be provided by CMPDI through the admin console and will authorise the investigators with their E-mail or Mobile no. to access their project information and for further updates as mentioned above. 
The investigator authorised shall receive a unique username and password to access their projects. The investigator will input the desired details such as personal information, bank details of institute/ Organisation of the projects, institutions and the co- investigators in the developed platform and upload necessary documents (the details of the information to be submitted will be provided).
The investigator shall submit the progress of projects in prescribed forms as per S&T guidelines (forms will be provided separately), and subsequently receive digitally generated forms which shall be uploaded after competent authorization.
The investigator shall submit Annual Audited statement certified by an authorised auditor and data on interest earned along with basis of calculation of interest amount
The app should allow project proponents to input data through PC or mobile.
The app should further have provision for sending messages as internal chat with the Admin(CMPDI) and E-mails, in case, deadline for quarterly status submission are missed, and the necessary data along with signed documents have not been uploaded for a particular project.
On completion of the project, the proponent should upload necessary documents required before and after the project completion.
Any modification in the input data should be locked after submission and generation of forms.OrganizationMinistry of CoalDepartmentCentral Mine Planning & Design Institute LimitedCategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1646,Problem Statement Title,App based Project monitoring of S&T/ R&D Projects of Coal Sector,https://www.sih.gov.in/sih2024PS,others
124,Ministry of Defence,"Web based Selector-Applicant Simulation Software×Problem Statement DetailsProblem Statement ID1653Problem Statement TitleWeb based Selector-Applicant Simulation SoftwareDescriptionBackground:
Recruitment and Assessment Centre (RAC) under DRDO, Ministry of Defence carries out interviews for applications received against advertised vacancies and for promotion to next higher grade for scientific manpower inducted within DRDO.
Description:
The process of interviewing is a challenging task. An unbiased objective interviewing process helps identify the right talent. The basic process of an interview involves posing a set of questions by an interviewer and thereafter
evaluating responses from candidates. Thus, the questions asked should be relevant and match the area/ expertise of the applicant and the responses should also be of relevance w.r.t. the question asked.
Expected Solution:
The proposed solution should provide experts as well as candidates a real life Board Room experience, starting with initial ice-breaking questions leading to in-depth techno-managerial (depending on the level of candidate) questions.
It shall also be able to provide a quantifiable score for experts as well as the candidate for the relevancy of questions w.r.t. the area/ expertise of the applicant. Similarly, candidate responses should also be graded for relevancy w.r.t. the question asked, finally assisting in arriving at an overall score for the subject knowledge of the candidate and thus his/ her suitability against the advertised post.OrganizationMinistry of DefenceDepartmentDefence Research and Devlopment Organisation (DRDO)CategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1653,Problem Statement Title,Web based Selector-Applicant Simulation Software,https://www.sih.gov.in/sih2024PS,others
125,Ministry of Defence,"Determining expert relevance with respect to interview board subject and candidates├ö├ç├û area of expertise×Problem Statement DetailsProblem Statement ID1654Problem Statement TitleDetermining expert relevance with respect to interview board subject and candidates├ö├ç├û area of expertiseDescriptionBackground:
Recruitment and Assessment Centre (RAC) under DRDO, Ministry of Defence conducts interview for recommending candidates under recruitment,
assessment and for sponsorship to acquire higher qualification.
Description:
The process of conducting an interview comprises of selection of board members i.e. experts from DRDO, industry, academia, etc. It is a challenge to
manually match profile of subject experts w.r.t. interview board subject and candidates├ö├ç├û area of expertise.
Expected Solution:
The solution shall be able to provide a matching score for experts whose domain matches w.r.t. interview board subject and candidates area of expertise and
thereafter should be able to predict suitability of expert for a particular interview board through a relevancy score. To arrive on the relevancy score for
an expert the system should be able to determine a profile score for each selected expert w.r.t. profile of candidates to be interviewed.OrganizationMinistry of DefenceDepartmentDefence Research and Devlopment Organisation (DRDO)CategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1654,Problem Statement Title,Determining expert relevance with respect to interview board subject and candidates├ö├ç├û area of expertise,https://www.sih.gov.in/sih2024PS,others
137,Ministry of Electronics and Information Technology,"Transformo Docs Application: Empowering Machine-Readable Document Management System.×Problem Statement DetailsProblem Statement ID1669Problem Statement TitleTransformo Docs Application: Empowering Machine-Readable Document Management System.DescriptionBackground:
In today's digital age, the ability to efficiently manage documents is crucial for organizations. However, a significant challenge arises when dealing with non-machine-readable documents such as PDFs or Word documents. These formats hinder automation and make it difficult to extract meaningful insights from the data they contain. Therefore, there is a pressing need for a solution that can both restrict the ingestion of non-machine-readable documents and facilitate the creation of machine-readable documents seamlessly.
Description:
The above problem statement envisages:
1. To develop an application that can restrict software applications from ingesting any non-machine-readable document format such as PDFs, DOCs, or any other document types.
2. To create a mechanism within the application to generate machine-readable documents automatically whenever a new document is created, regardless of its source - scanned, generated through a software application, or otherwise.
Expected Solution:
The TransformoDocs application aims to address the challenges associated with managing non-machine-readable documents by developing a comprehensive document transformation application. It will help in realizing the benefits of search-ability, artificial intelligence, accessibility to persons with disability, machine translation and access to data across applications and data exchanges. This application may offer efficient data extraction, standardized processing, workflow automation, data quality improvement, scalability, integration with external systems, advanced analytics, and compliance with regulatory requirements ultimately unlocking the value of their data.OrganizationMinistry of Electronics and Information TechnologyDepartmentCo-ordination DivisionCategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1669,Problem Statement Title,Transformo Docs Application: Empowering Machine-Readable Document Management System.,https://www.sih.gov.in/sih2024PS,others
148,National Technical Research Organisation (NTRO),"Few Shot Language Agnostic Key Word Spotting system (FSLAKWS) for audio files.×Problem Statement DetailsProblem Statement ID1680Problem Statement TitleFew Shot Language Agnostic Key Word Spotting system (FSLAKWS) for audio files.DescriptionDescription: The problem statement envisages development of Few Shot Language Agnostic Key Word Spotting system (FSLAKWS) system which would be able to localize and classify the presence of keywords of Interest in a variable duration audio file. The system to be able to function at high performance when very few (Few Shot) examples per keyword are given for training. The key features of the system would be as mentioned below: -
(a) The system should be language agnostic
(b) The system should be able to handle audio files at various sample
rates (8k-48k).
(c) The system should be able to upgrade to additional keywords.
Performance Criteria: For creating a system with Few Shot capabilities, the participants may need to do pre-training of their model on a large corpus. This corpus should be obtained by the participants themselves. We will provide few examples per keyword at the training time during the conduct of the hackathon. The participants will be judged on a separate test set having the same keywords as the train set. The performance would be ascertained on the following:
(a) Metric
(b) Latency and throughput of the responses.
(c) Smaller model size.OrganizationNational Technical Research Organisation (NTRO)DepartmentNational Technical Research Organisation (NTRO)CategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1680,Problem Statement Title,Few Shot Language Agnostic Key Word Spotting system (FSLAKWS) for audio files.,https://www.sih.gov.in/sih2024PS,others
163,Ministry of Jal Shakti,"A software application for analysis of DWLR data and raise alarms in respect of anomalous values, faulty DWLRs etc×Problem Statement DetailsProblem Statement ID1695Problem Statement TitleA software application for analysis of DWLR data and raise alarms in respect of anomalous values, faulty DWLRs etcDescriptionCentral Ground Water Board is in the process of installing Digital Water Level Recorders (DWLRs) across the country. CGWB will be monitoring 14,000 DWLRs by 2026, which will generate high-frequency water level measurements. Each DWLR will record 4 ground water level data per day, generating 1460 measurements per year. 
Analysing all the 14,000 wells will be an enormous task. Accordingly, a software application is proposed to analyse and flag anomalous data. Input to the application will be high frequency water level data collected through the telemetry systems. The application should be able to identify DWLRs recording no data/abnormal data or DWLRs with low battery level. The application will raise alarms and send messages to the concerned officer and vendors to initiate immediate action.OrganizationMinistry of Jal ShaktiDepartmentDepartment of WR, RD & GRCategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1695,Problem Statement Title,"A software application for analysis of DWLR data and raise alarms in respect of anomalous values, faulty DWLRs etc",https://www.sih.gov.in/sih2024PS,others
